"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"Nhat[107]",358219.201319352,1524238.86325608,2818360.00900124,1600880.59355502,883934.713172733,NA,9261.09935762833,1,9110,0.00595524377516369,1.00025922829267
"Nhat[108]",349890.202000368,1876028.37117628,3509874.5571955,1990895.81992373,1059097.72579266,NA,11427.6132141108,1.1,8589,0.0164567108157128,1.00139144782908
"Nhat[109]",1008535.35895765,3831288.62916126,8065876.23756778,4360193.72538765,12011333.4767202,NA,127814.389742369,1.1,8831,0.00320724464561571,1.01002932742723
"Nhat[110]",425496.319485987,1540830.56200435,2956968.01184918,1684942.30467694,889744.070623243,NA,9783.87678204944,1.1,8270,0.0163152568528429,1.00622773251568
"Nhat[111]",309543.670070037,1369003.39057707,2454164.51673767,1435348.70537214,777320.766190154,NA,9285.9771521681,1.2,7007,-0.000705377134755741,1.00398178498958
"Nhat[112]",439677.976103447,1512696.22444837,2735115.02001124,1608468.8024729,1107954.63720435,NA,11768.2141969846,1.1,8864,-0.00339061526582822,1.00051051250187
"Nhat[113]",31973.841377602,1164028.89193613,5652162.73709805,1950952.52139113,4139446.45474072,NA,45396.868002289,1.1,8314,0.00405246345277415,1.00148962674608
"Nhat[114]",106126.63778711,1441027.14186684,4530229.55248512,1983316.21274078,9484168.92447067,NA,104382.743783616,1.1,8255,0.00547958789876332,1.00070477973147
"Nhat[115]",312963.065825141,1304322.38948156,3030734.63069337,1516643.84642476,1011660.35530829,NA,13017.7646477229,1.3,6039,0.0177130246183719,1.00092231040742
"Nhat[116]",109110.559330938,1425373.51152859,4370327.10111001,1858076.09469328,2281985.62582466,NA,25542.2348441175,1.1,7982,0.00815170565890473,1.0036031138433
"Nhat[117]",173316.780455884,1202123.49347043,3278026.21559957,1495369.79549703,1414554.49285543,NA,18375.7539150928,1.3,5926,0.014503736057132,1.00025422006274
